iteration,nash_conv
200,0.006659206272642992
400,0.0038537173579251127
600,0.0025817691651754404
800,0.0017649676922096291
1000,0.0018752332939859229
1200,0.0011141055459031879
1400,0.0016300507613961068
1600,0.0014331824490211864
1800,0.001139925798826491
2000,0.0010784867335484338
2200,0.0010638510305394089
2400,0.000982020536416106
2600,0.0006906440620990106
2800,0.0007225487799414898
3000,0.0008372613409711183
3200,0.0005649075874654685
3400,0.0006530054171454691
3600,0.0005855888857736469
3800,0.0006499531610122955
4000,0.0005306637588329277
4200,0.0005490472985731354
4400,0.00037845733020086536
4600,0.0005891351211846918
4800,0.0005104180307867745
5000,0.00035956975085160714
5200,0.0004919613028232517
5400,0.00045896194080952135
5600,0.00040317835539099844
5800,0.00029268898780104857
6000,0.00040686454815802575
6200,0.0004399853887866456
6400,0.00037747558049228136
6600,0.0003767319128923363
6800,0.00035705467654334466
7000,0.0002664731674151821
7200,0.0002676785647403035
7400,0.00026343675934581423
7600,0.00030175029823320543
7800,0.0002994716180974577
8000,0.00032124606348926665
