iteration,lambda,actor_loss,critic_loss,regret_loss,total_loss,mean_regret
0,0.5002065896987915,0.6290388703346252,0.0,0.6455692648887634,1.2746081352233887,0.262784868478775
1,0.4974040687084198,0.7073134779930115,0.0,0.4847602844238281,1.1920738220214844,0.26580169796943665
2,0.4941744804382324,0.6489592790603638,0.0,0.36980554461479187,1.018764853477478,0.24399903416633606
3,0.49339109659194946,0.6058511137962341,0.0,0.4965626895427704,1.1024137735366821,0.22854238748550415
4,0.4906553030014038,0.6590401530265808,0.0,0.38724416494369507,1.0462843179702759,0.24704879522323608
5,0.4861171543598175,0.5929518342018127,0.0,0.15493790805339813,0.7478897571563721,0.22268162667751312
6,0.48331859707832336,0.5978620648384094,0.0,0.26267585158348083,0.8605378866195679,0.22052842378616333
7,0.48016634583473206,0.6157684922218323,0.0,0.22975140810012817,0.8455199003219604,0.17707906663417816
8,0.4763413965702057,0.6659713983535767,0.0,0.20064139366149902,0.8666127920150757,0.2682206630706787
9,0.4723649322986603,0.6581312417984009,0.0,0.14976465702056885,0.8078958988189697,0.2785783112049103
10,0.46894046664237976,0.6648392677307129,0.0,0.16862714290618896,0.8334664106369019,0.3275229334831238
11,0.46559715270996094,0.6359533071517944,0.0,0.11854012310504913,0.7544934153556824,0.3044278919696808
12,0.4631522595882416,0.6583299040794373,0.0,0.1860790103673935,0.8444089293479919,0.3053164482116699
13,0.46025729179382324,0.6851311922073364,0.0,0.15685035288333893,0.8419815301895142,0.3626934289932251
14,0.45727023482322693,0.667221188545227,0.0,0.10800791531801224,0.7752290964126587,0.3806830048561096
15,0.45501118898391724,0.617640495300293,0.0,0.09283587336540222,0.7104763984680176,0.3960561156272888
16,0.4535837173461914,0.5979753732681274,0.0,0.12193064391613007,0.7199060320854187,0.4163459241390228
17,0.45077958703041077,0.7043614387512207,0.0,0.10555968433618546,0.809921145439148,0.4564952254295349
18,0.4493789076805115,0.6169780492782593,0.0,0.10875183343887329,0.7257298827171326,0.4388815462589264
19,0.44757091999053955,0.6417104601860046,0.0,0.08915743231773376,0.730867862701416,0.4480651021003723
20,0.4453601539134979,0.6567181944847107,0.0,0.05682694539427757,0.7135451436042786,0.454950213432312
21,0.4447593092918396,0.6359372735023499,0.0,0.1484101414680481,0.784347414970398,0.4400118887424469
22,0.44385603070259094,0.5965522527694702,0.0,0.07964412122964859,0.6761963963508606,0.4144333302974701
23,0.44313085079193115,0.6155029535293579,0.0,0.10568391531705856,0.7211868762969971,0.45301705598831177
24,0.44240400195121765,0.6222424507141113,0.0,0.10639389604330063,0.7286363244056702,0.4774954915046692
25,0.44133099913597107,0.6150615811347961,0.0,0.06522371619939804,0.6802852749824524,0.41761383414268494
26,0.43990156054496765,0.6578884124755859,0.0,0.07036943733692169,0.7282578349113464,0.3986189365386963
27,0.43883979320526123,0.6547995805740356,0.0,0.08547038584947586,0.7402699589729309,0.41630589962005615
28,0.43800461292266846,0.6363287568092346,0.0,0.07673774659633636,0.7130665183067322,0.4103420078754425
29,0.43666592240333557,0.6624453663825989,0.0,0.05511302500963211,0.7175583839416504,0.4300297796726227
30,0.43545597791671753,0.6614139676094055,0.0,0.05360285937786102,0.7150168418884277,0.35761308670043945
31,0.4354706108570099,0.5905100107192993,0.0,0.07244833558797836,0.6629583239555359,0.3536822199821472
32,0.43558669090270996,0.5896182060241699,0.0,0.0799330398440361,0.6695512533187866,0.4080333113670349
33,0.43421706557273865,0.7045164108276367,0.0,0.07487092167139053,0.779387354850769,0.41209137439727783
34,0.4349652826786041,0.54915851354599,0.0,0.08072351664304733,0.6298820376396179,0.3406429588794708
35,0.4342629611492157,0.6369563341140747,0.0,0.05655331164598465,0.6935096383094788,0.2732495367527008
36,0.4337889850139618,0.6145209670066833,0.0,0.046971555799245834,0.6614925265312195,0.3274679183959961
37,0.4341801106929779,0.5704888701438904,0.0,0.06951528787612915,0.6400041580200195,0.2741617262363434
38,0.4337870478630066,0.6138455271720886,0.0,0.05221271514892578,0.6660582423210144,0.3292374908924103
39,0.43300673365592957,0.6582111716270447,0.0,0.06182480975985527,0.720035970211029,0.3373763859272003
40,0.43199968338012695,0.6836430430412292,0.0,0.06239483505487442,0.7460379004478455,0.38765737414360046
41,0.43105199933052063,0.6795337796211243,0.0,0.05487325042486191,0.7344070076942444,0.3169097900390625
42,0.43012678623199463,0.6813952326774597,0.0,0.05080471187829971,0.7321999669075012,0.31660908460617065
43,0.4292852580547333,0.6817380785942078,0.0,0.05039006471633911,0.7321281433105469,0.3314550220966339
44,0.4290352165699005,0.6332647800445557,0.0,0.04331798106431961,0.6765827536582947,0.3179357349872589
45,0.4289402663707733,0.6372673511505127,0.0,0.05793611705303192,0.6952034831047058,0.2935413122177124
46,0.42826008796691895,0.6580989360809326,0.0,0.03020322509109974,0.6883021593093872,0.2991824150085449
47,0.4293524920940399,0.567864179611206,0.0,0.07915233820676804,0.6470165252685547,0.31929296255111694
48,0.4288913905620575,0.6558291912078857,0.0,0.049201007932424545,0.7050302028656006,0.3162398934364319
49,0.42862972617149353,0.6563937664031982,0.0,0.06227843090891838,0.7186722159385681,0.2846252918243408
