agent,iteration,mean,std,num_runs,ci95,ci95_lower,ci95_upper
baseline,50,2.929325706074808,0.09947544363604298,20,0.04359703539617962,2.8857286706786285,2.9729227414709873
baseline,100,2.8100873059320457,0.09827286021860837,20,0.043069979975260055,2.7670173259567856,2.8531572859073058
baseline,150,2.7066840980365128,0.09820790197952904,20,0.04304151077175716,2.663642587264756,2.7497256088082698
baseline,200,2.615369835988647,0.10343646801922665,20,0.04533303087332086,2.570036805115326,2.660702866861968
lstm_no_embedding,50,2.988791728112979,0.18989200592215888,20,0.08322384099064502,2.9055678871223343,3.072015569103624
lstm_no_embedding,100,2.9959926426944614,0.25181102202434374,20,0.11036104629510533,2.885631596399356,3.1063536889895667
lstm_no_embedding,150,3.0473416131312105,0.27033998007070126,20,0.11848172020490916,2.9288598929263014,3.1658233333361196
lstm_no_embedding,200,3.1335632865923264,0.26362068300712277,20,0.11553685842585462,3.018026428166472,3.249100145018181
lstm_no_history,50,2.9733311492754724,0.18751496154712102,20,0.08218205536025386,2.8911490939152187,3.055513204635726
lstm_no_history,100,2.971507178006018,0.263736358501287,20,0.11558755544643792,2.85591962255958,3.0870947334524557
lstm_no_history,150,3.0416164132327053,0.28108972305581875,20,0.12319300279176251,2.9184234104409428,3.1648094160244677
lstm_no_history,200,3.1571270412822536,0.27322450544108673,20,0.11974591918786609,3.0373811220943874,3.27687296047012
lstm_optimized,50,2.9637254817492495,0.16386160738735184,20,0.07181551583201809,2.8919099659172316,3.0355409975812675
lstm_optimized,100,2.9690875635739062,0.22807578270818235,20,0.09995861901476549,2.8691289445591406,3.069046182588672
lstm_optimized,150,3.004294866938861,0.22927884670788345,20,0.10048588506014992,2.903808981878711,3.104780751999011
lstm_optimized,200,3.092388891033228,0.21317849428033755,20,0.09342959449216943,2.9989592965410585,3.185818485525397
